	<Base_Stems>	Abstecher	<NN>	<base>	<nativ>	<NMasc_s_0>	
	<Base_Stems>	Absteiger	<NN>	<base>	<nativ>	<NMasc_s_0>	
	<Base_Stems>	Abstieg	<NN>	<base>	<nativ>	<NMasc_es_e>	
	<Base_Stems>	Abstimmung	<NN>	<base>	<nativ>	<NFem_0_en>	
	<Base_Stems>	Abstinenz	<NN>	<base>	<nativ>	<NFem/Sg>	
	<Base_Stems>	Abstract	<NN>	<base>	<nativ>	<NNeut_s_s>	
	<Base_Stems>	Abstraktion	<NN>	<base>	<nativ>	<NFem_0_en>	
	<Base_Stems>	Absurdität	<NN>	<base>	<nativ>	<NFem_0_en>	
	<Base_Stems>	Absurdum	<NN>	<base>	<klassisch>	<NNeut-um/a>	
	<Base_Stems>	Abtei	<NN>	<base>	<nativ>	<NFem_0_en>	
	<Base_Stems>	Abteil	<NN>	<base>	<nativ>	<NNeut_s_e>	
	<Base_Stems>	Abteilung	<NN>	<base>	<nativ>	<NFem_0_en>	
	<Base_Stems>	Abu	<NN>	<base>	<fremd>	<Name-Invar>	
	<Base_Stems>	Abwasser	<NN>	<base>	<nativ>	<NNeut_s_$>	
	<Base_Stems>	Abwehr	<NN>	<base>	<nativ>	<NFem/Sg>	
	<Base_Stems>	Abwesenheit	<NN>	<base>	<nativ>	<NFem_0_en>	
	<Base_Stems>	Abwurf	<NN>	<base>	<nativ>	<NMasc_es_$e>	
	<Base_Stems>	Abzeichen	<NN>	<base>	<nativ>	<NNeut_s_x>	
	<Base_Stems>	Abzug	<NN>	<base>	<nativ>	<NMasc_es_$e>	
	<Base_Stems>	Accessoire	<NN>	<base>	<fremd>	<NNeut_s_s>	
	<Base_Stems>	Achilles	<NN>	<base>	<nativ>	<Name-Masc_0>	
	<Base_Stems>	Achse	<NN>	<base>	<nativ>	<NFem_0_n>	
	<Base_Stems>	Achsel	<NN>	<base>	<nativ>	<NFem_0_n>	
	<Base_Stems>	Acht	<NN>	<base>	<nativ>	<NFem_0_en>	
